symbol,name,nse_sector,yahoo_sector,yahoo_industry,mcap_cr,median_traded_value_cr,current_micro_sectors,summary
GRWRHITECH,Garware Hi-Tech Films Limited,Capital Goods,Basic Materials,Specialty Chemicals,14995.0,25.56,,"Garware Hi-Tech Films Limited manufactures and sells polyester films in India, the United States, and internationally. The company offers paint protection and sun control films. It also offers defendo-dual reflective, spectrally selective, deco vista, safety, designer, privacy, reflective, IR rejection, writable, antigraffity, and whiteboard films, as well as HP films. In addition, the company pro"
ABB,ABB India Limited,Capital Goods,Industrials,Specialty Industrial Machinery,154079.0,129.68,Power T&D Equipment,"ABB India Limited develops and sells products and system solutions to utilities, industries, channel partners, and original equipment manufacturers in India and internationally. It operates through Motion, Robotics and Discrete Automation, Electrification, and Process Automation segments. The Motion segment offers motors, generators, and drives that provide power, motion, and control for a range o"
BHEL,Bharat Heavy Electricals Limited,Capital Goods,Industrials,Specialty Industrial Machinery,150913.0,256.84,Power T&D Equipment,"Bharat Heavy Electricals Limited operates as power plant equipment manufacturer in India and internationally. The company operates in two segments, Power and Industry. It offers equipment supplies; spares and services; and undertakes engineering, procurement, and construction works for coal and lignite, gas, hydro and nuclear power plant, transportation, transmission, defence, aerospace, captive p"
CUMMINSIND,Cummins India Limited,Capital Goods,Industrials,Specialty Industrial Machinery,140457.0,210.55,Engines & Pumps,"Cummins India Limited engages in the design, manufacture, distribution, and service of engines, generator sets, and related technologies in India, Nepal, and Bhutan. The company operates through two segments, Engines and Lubes. It provides accelera, G-drive, fire pump drive, hydrogen, and natural gas and browse engines; and generators and power systems, including integrated power systems, alternat"
SIEMENS,Siemens Limited,Capital Goods,Industrials,Specialty Industrial Machinery,138424.0,129.41,Power T&D Equipment,"Siemens Limited, a technology company, industry, infrastructure, mobility, and healthcare business in India and internationally. It operates through Smart Infrastructure, Mobility, Digital Industries, and Others segments. The Smart Infrastructure supplies products, systems, solutions, and services for transmission and distribution of electrical energy for power utilities, industrial companies, and"
GVT&D,GE Vernova T&D India Limited,Capital Goods,Industrials,Specialty Industrial Machinery,111792.0,354.76,Power T&D Equipment,"GE Vernova T&D India Limited engages in power transmission and distribution business in India and internationally. It offers grid solutions for generation, transmission, distribution, and industries and infrastructures, such as HVDC/FACTS, AC substations solution and services for system integration; HV/MV equipment, including circuit breakers, disconnectors, instrument transformers, power transfor"
SUZLON,Suzlon Energy Limited,Capital Goods,Industrials,Specialty Industrial Machinery,59577.0,179.34,Renewable Energy Equipment,"Suzlon Energy Limited, together with its subsidiaries, manufactures and sells wind turbine generators and related components in India and internationally. The company operates through the WTG, Foundry & Forging, O&M services, and Others segments. It offers onshore wind turbine generators with capacities ranging from 2 MW to 6 MW, and classic fleet turbines; and services including project developme"
AIAENG,AIA Engineering Limited,Capital Goods,Industrials,Specialty Industrial Machinery,36778.0,12.79,Industrial Machinery,"AIA Engineering Limited designs, develops, produces, installs, and services high chromium parts in India, the United Arab Emirates, and internationally. The company offers lining systems, DE assemblies, fasteners, and ceramic composite alloys; diaphragms, shell liners, grinding media, mill liners, FLS, pfeiffer, polysius, and loesche; blow bars, hammers, impellers, anvils, feed disks, and frame li"
KIRLOSENG,Kirloskar Oil Engines Limited,Capital Goods,Industrials,Specialty Industrial Machinery,31031.0,84.68,Engines & Pumps,"Kirloskar Oil Engines Limited manufactures and distributes diesel engines, agricultural pump sets, electric pump sets, power tillers, generating sets, and spares in India and internationally. It operates in three segments: Business to Business, Business to Customer, and Financial Services. The company offers power generation solutions, such as gensets, backup solutions, generator electrical, retro"
JYOTICNC,Jyoti CNC Automation Limited,Capital Goods,Industrials,Specialty Industrial Machinery,25332.0,90.4,,"Jyoti CNC Automation Limited engages in the manufacture and sale of metal cutting computer numerical control machines in India, rest of Asia, Europe, the Middle East, North America, South America, and Africa. The company's product portfolio includes CNC turning centers, CNC turn mill centers, CNC vertical machining centers, CNC horizontal machining centers, CNC 5 axis machining centers, and CNC mu"
