symbol,name,nse_sector,yahoo_sector,yahoo_industry,mcap_cr,median_traded_value_cr,current_micro_sectors,summary
PVRINOX,PVR INOX Limited,Media Entertainment & Publication,Communication Services,Entertainment,13250.0,64.07,,"PVR INOX Limited, a theatrical exhibition company, engages in the exhibition, distribution, and production of movies in India and Sri Lanka. The company is involved in sale of movie tickets; in cinema advertisements/product displays; sale of food and beverages; and restaurant business. It also manages cinema screens; and designing, developing, operating and maintaining food courts and other food o"
SAREGAMA,Saregama India Limited,Media Entertainment & Publication,Communication Services,Entertainment,9371.0,19.69,,"Saregama India Limited operates as an entertainment company in India and internationally. It operates in four segments: Music, Artist Management, Video, and Events. The Music segment engages in the manufacture and sale of music storage device through Carvaan, Music Card, Vinyl records, etc., as well as dealing with related music rights. Its Artist Management segment manages influencers and artiste"
TIPSMUSIC,Tips Music Limited,Media Entertainment & Publication,Communication Services,Entertainment,8420.0,13.35,,Tips Music Limited engages in the acquisition and exploitation of music rights in India and internationally. The company involved in the production and acquisition of audiovisual music content and monetisation of the content library digitally. It also provides live events and concerts services. The company was formerly known as Tips Industries Limited and changed its name to Tips Music Limited in
NETWORK18,Network18 Media & Investments Limited,Media Entertainment & Publication,Communication Services,Entertainment,4138.0,11.6,,"Network18 Media & Investments Limited engages in broadcasting, digital content, print, and allied businesses in India. The company operates business news channels, such as CNBC-TV18, CNBC Awaaz, and CNBC Bajar; general news channels, including CNN News18 and News18 India; and regional news channels comprising News18 network. It also operates factual entertainment and lifestyle channels, such as Hi"
HINDALCO,Hindalco Industries Limited,Metals & Mining,Basic Materials,Aluminum,217810.0,320.36,,"Hindalco Industries Limited, together with its subsidiaries, manufactures and distributes aluminum and copper products in India and internationally. It operates through four segments: Novelis, Aluminium Upstream, Aluminium Downstream, and Copper. The company offers primary aluminum, such as ingots, wirerods, primary foundry alloys, and billets; flat rolled products, including building and pattern"
NATIONALUM,National Aluminium Company Limited,Metals & Mining,Basic Materials,Aluminum,64741.0,147.01,,"National Aluminium Company Limited engages in the manufacture and sale of alumina and aluminum products in India and internationally. The company operates through Chemical and Aluminum segments. It offers aluminum metal products, such as ingots, alloy ingots, T-ingots, sows, billets, and wire rods; alumina and hydrate products, including calcined alumina and alumina hydrate; zeolite-A products; sp"
HINDCOPPER,Hindustan Copper Limited,Metals & Mining,Basic Materials,Copper,48733.0,457.06,,"Hindustan Copper Limited engages in the exploration, exploitation, mining, and processing of copper ore metal-in-concentrates in India. The company offers continuous cast copper rods, copper cathodes, copper concentrates, copper sulphates, sulphuric acid, reverts, anode slimes, and nickel cathodes. It is also involved in the beneficiation, smelting, and refining of copper ores, as well as conversi"
GRAVITA,Gravita India Limited,Metals & Mining,Industrials,Metal Fabrication,11508.0,21.54,,"Gravita India Limited manufactures and recycles lead metal, lead products, aluminium alloys, and plastic granules in India, the United Arab Emirates, South Korea, and internationally. It operates through Lead Processing, Aluminium Processing, Turn-Key Solutions, and Plastic Manufacturing segments. The company engages in smelting of lead battery scrap/lead concentrate to produce secondary lead meta"
HINDZINC,Hindustan Zinc Limited,Metals & Mining,Basic Materials,Other Industrial Metals & Mining,250054.0,317.01,,"Hindustan Zinc Limited explores for, extracts, and processes minerals in India, rest of Asia, and internationally. The company operates through two segments, Zinc, Lead, Silver & Others; and Wind Energy. The company produces refined zinc and lead, precious metals, and silver; sulphuric acid; rock-phosphate; and metals and related alloys. It also operates captive thermal with a capacity of 550.00 m"
VEDL,Vedanta Limited,Metals & Mining,Basic Materials,Other Industrial Metals & Mining,101720.0,212.19,,"Vedanta Limited, a diversified natural resources company, explores, extracts, and processes minerals, and oil and gas in India, Europe, China, the United States, Mexico, and internationally. The company explores, produces, and sells oil and gas, zinc, lead, silver, copper, aluminum, iron ores, and metallurgical coke. It also operates a thermal coal-based commercial power facility of 600 megawatts"
JAINREC,Jain Resource Recycling Limited,Metals & Mining,Basic Materials,Other Industrial Metals & Mining,9412.0,23.17,,"Jain Resource Recycling Limited engages in the recycling scraps of non-ferrous metals, and non-metallic materials in India and internationally. The company offers lead and lead alloy ingots, copper and copper alloys and ingots, and aluminum and aluminum alloys. It also engages in the non-ferrous metals and other commodities; processing of precious metals, such as gold and silver; and manufactures"
IMFA,Indian Metals & Ferro Alloys Limited,Metals & Mining,Basic Materials,Other Industrial Metals & Mining,6680.0,12.79,,"Indian Metals and Ferro Alloys Limited engages in the production and sale of ferro chrome in India and internationally. It operates through Ferro Alloys, Power, and Mining segments. The company operates a captive power generation plant with a total capacity of 204.55MW; and two chrome ore mines, as well as a manufacturing plant for low-density aggregates and fly ash bricks for use in road construc"
ASHAPURMIN,Ashapura Minechem Limited,Metals & Mining,Basic Materials,Other Industrial Metals & Mining,5084.0,17.79,,"Ashapura Minechem Limited is involved in the mining, manufacturing, and trading of various minerals and its derivative products in India and internationally. The company offers processed bentonite products for foundry, iron ore pelletising, civil engineering, pet litter, environmental containment, and animal feed applications; bentonite-based drilling fluids and specialty additives to the oil and"
MOIL,MOIL Limited,Metals & Mining,Basic Materials,Other Industrial Metals & Mining,4911.0,17.11,,"MOIL Limited engages in the exploration, exploitation, and marketing of various grades of manganese ores in India and Internationally. It operates through three segments: Mining, Manufacturing, and Power Generation. The company manufactures and sells various grades of manganese ores, such as high-grade ores for the production of ferro manganese; medium grade ores for the production of silico manga"
JSWSTEEL,JSW Steel Limited,Metals & Mining,Basic Materials,Steel,309662.0,180.97,,"JSW Steel Limited manufactures and sells iron and steel products in India and internationally. The company offers hot and cold rolled steel products, colour coated sheets, galvanized and galvalume steel, electrical steel, steel doors, zinc-magnesium-aluminium products, aluminium-zinc roofing products, tin plate, TMT bars, wire rods, special alloy steel, grinding media, prepainted colour coated ste"
TATASTEEL,Tata Steel Limited,Metals & Mining,Basic Materials,Steel,228779.0,563.61,,"Tata Steel Limited engages in the manufacture and distribution of steel products in India and internationally. It offers reinforcement bars (rebars) and wire rods, cut-and-bend reinforcement bars, welded wire mesh, prefabricated cages (pre-cages), steel couplers and carpet reinforcement; hot-rolled, cold rolled, coated coil, tubes, rebar, wire rods; and metallic coated, pre-finished steels, alloy"
JINDALSTEL,JINDAL STEEL LIMITED,Metals & Mining,Basic Materials,Steel,115037.0,81.52,,"Jindal Steel Limited manufactures steel in India and internationally. It offers TMT rebars under the Jindal Panther brand; structural sections, rails, wire rods, round bars, and cut and bend rebars; and flat products, such as hot rolled coils, cast rounds, cold rolled and coated products, plates and coils, rockhard plates, and hollow sections. The company also provides semi-finished and specialize"
LLOYDSME,Lloyds Metals And Energy Limited,Metals & Mining,Basic Materials,Steel,102650.0,56.27,,"Lloyds Metals and Energy Limited manufactures and sells sponge iron and iron ore in India and the Isle of Man. The company operates through four segments: Mining, Steel and related value added products, Mine Developer and Operator (MDO), and Others. It offers wire rods, round and TMT bars, as well as flat steel products. The company is also involved in the generation of power; and trading of pelle"
SAIL,Steel Authority of India Limited,Metals & Mining,Basic Materials,Steel,73234.0,366.97,,"Steel Authority of India Limited, a steel-making company, manufactures and sells iron and steel products in India and internationally. The company offers a range of railway products, which include rail, high YS/UTS rail, corrosion-resistant micro-alloyed rail, vanadium alloyed rail, end forged thick web asymmetric rail, high conductivity rail, crane rails, and crossing sleeper bars. It also provid"
NMDC,NMDC Limited,Metals & Mining,Basic Materials,Steel,70159.0,116.71,,"NMDC Limited, together with its subsidiaries, explores for and produces iron ore in India and internationally. It operates through Iron Ore, and All Other Segments (Pellets, Other Minerals & Services). The company also explores for lithium, copper, rock phosphate, limestone, beach sand, coking and non-coking coal, magnesite, diamond, tungsten, nickel, gold, base metals, and rare earth metals. In a"
JSL,Jindal Stainless Limited,Metals & Mining,Basic Materials,Steel,61916.0,63.72,,"Jindal Stainless Limited manufactures and sells stainless-steel flat products in India and internationally. The company offers ferro alloys, stainless steel slabs and blooms, hot rolled coils, plates and sheets, and cold rolled coils and sheets; specialty products, including razor-blade steel, coin blanks, and precision strips; and long products, such as decorative stainless-steel pipes, rebars, a"
SARDAEN,Sarda Energy & Minerals Limited,Metals & Mining,Basic Materials,Steel,17734.0,16.56,,"Sarda Energy & Minerals Limited produces and sells steel products in India and internationally. The company product portfolio includes pellets, sponge iron, steel billets and wire rods, ferro alloys, eco-bricks, and HB wires. It is also involved in coal and iron ore mining, as well as operation of hydro, thermal, and solar power plants. Sarda Energy & Minerals Limited was incorporated in 1973 and"
NSLNISP,NMDC Steel Limited,Metals & Mining,Basic Materials,Steel,12437.0,19.75,,"NMDC Steel Limited manufactures and sells steel products in India. It offers hot rolled coils, sheets, and plates of welded steel pipe for pipeline transportation systems; structural and silicon steel; pig iron; and LPG grades of LPG cylinders manufacturing. The company also provides tube and pipe grade, boiler and pressure vessel grade, commercial forming grades, cold rolling grade, and HSLA Grad"
LLOYDSENT,Lloyds Enterprises Limited,Metals & Mining,Basic Materials,Steel,10761.0,13.74,,"Lloyds Enterprises Limited, together with its subsidiaries, engages in the trading of iron and steel products in India. It operates through Real Estate, Steel, Engineering, and Electrical segments. The company engages in residential, commercial, and plot-driven real estate; diversified engineering; and iron and gold mining activities. It also manages a portfolio of financial investments. In additi"
SANDUMA,Sandur Manganese & Iron Ores Limited,Metals & Mining,Basic Materials,Steel,8903.0,8.32,,"The Sandur Manganese & Iron Ores Limited, together with its subsidiary, engages in the mining of manganese and iron ores in Deogiri village of Ballari District, Karnataka. It operates through three segments: Mining, Ferroalloys, and Coke and Energy. The company also manufactures and sells steel, ferroalloys and coke. In addition, it generates power through a 32-megawatt of cleaner by-product energ"
JAIBALAJI,Jai Balaji Industries Limited,Metals & Mining,Basic Materials,Steel,5798.0,5.05,,"Jai Balaji Industries Limited manufactures and markets iron and steel products in India. The company provides TMT bars, cement, sponge iron, pig iron, ductile iron pipe, ferro chrome, billet, coke, sinter, ductile iron pipes, and alloy carbon and mild steel billets and rounds. It also offers steel bars/rods, ferro alloys, MS ingots, and coke/coke fines/nut coke, as well as generates power. The com"
ADANIENT,Adani Enterprises Limited,Metals & Mining,Energy,Thermal Coal,423335.0,483.33,,"Adani Enterprises Limited, together with its subsidiaries, operates in the new energy ecosystem, data center, airports, roads, copper and PVC, and other sectors in India and internationally. It operates through the Integrated Resources Management (IRM), Mining Services, Commercial Mining, New Energy Ecosystem, Airport, Road, copper, and Others segments. The company engages in the integrated ecosys"
GMDCLTD,Gujarat Mineral Development Corporation Limited,Metals & Mining,Energy,Thermal Coal,17741.0,38.02,,"Gujarat Mineral Development Corporation Limited engages in mining and mineral processing business in India. The company operates through two segments, Mining and Power. It explores for lignite, bauxite, fluorspar, manganese, silica sand, limestone, bentonite, and ball clay. The company's products used in the textiles, chemicals, ceramics, bricks and captive power. Its products are also used in the"
AEGISVOPAK,Aegis Vopak Terminals Limited,Oil Gas & Consumable Fuels,Energy,Oil & Gas Equipment & Services,35267.0,22.45,,"Aegis Vopak Terminals Limited engages in the business of storage and terminalling facilities for LPG and chemical products in India. The company operates through Gas Terminal Division and Liquid Terminal Division segments. It engages in the storage and handling of liquified petroleum gas, oil, chemicals, petrochemical, gas, petroleum, bitumen, and vegetable oil products. The company was formerly k"
ONGC,Oil & Natural Gas Corporation Limited,Oil Gas & Consumable Fuels,Energy,Oil & Gas Integrated,296429.0,258.3,,"Oil and Natural Gas Corporation Limited, together with its subsidiaries, engages in the exploration, development, and production of crude oil, natural gas, and value-added products in India and internationally. It operates through Exploration and Production, Refining & Marketing, and Petrochemicals segments. The company offers LPG, naptha, ethane, propane and butane, superior kerosene oil, LSHS, h"
OIL,Oil India Limited,Oil Gas & Consumable Fuels,Energy,Oil & Gas Integrated,77809.0,89.88,,"Oil India Limited engages in the exploration, development, and production of crude oil and natural gas in India. It operates through Crude Oil, Natural Gas, LPG, Pipeline Transportation, Renewable Energy, and Others segments. The company owns and operates crude oil trunk pipeline comprising an area of 1,157 kilometers; and drilling rigs and workover rigs. It is also involved in the transportation"
RELIANCE,Reliance Industries Limited,Oil Gas & Consumable Fuels,Energy,Oil & Gas Refining & Marketing,1688041.0,1267.58,,"Reliance Industries Limited engages in hydrocarbon exploration and production, petroleum refining and marketing, petrochemicals, advanced materials and composites, renewable, financial services, retail, and digital services worldwide. It operates through the Oil to Chemicals, Oil and Gas, Retail, Digital Services, and Others segments. The company is involved in refining and marketing products, inc"
IOC,Indian Oil Corporation Limited,Oil Gas & Consumable Fuels,Energy,Oil & Gas Refining & Marketing,192797.0,95.38,,"Indian Oil Corporation Limited, together with its subsidiaries, engages in the oil, gas, petrochemicals, and alternative energy source businesses in India and internationally. It operates through Sale of Petroleum Products; Sale of Petrochemicals; Sale of Gas; and Other segments. The company is involved in the refining, pipeline transportation and marketing, exploration and production of crude oil"
BPCL,Bharat Petroleum Corporation Limited,Oil Gas & Consumable Fuels,Energy,Oil & Gas Refining & Marketing,133625.0,135.42,,"Bharat Petroleum Corporation Limited engages in refining crude oil and marketing petroleum products in India and internationally. It operates through two segments, Downstream Petroleum; and Exploration and Production of Hydrocarbons. The company operates fuel stations that sell motor spirits, high-speed diesel, compressed and liquefied natural gas, automotive liquefied petroleum gas (LPG), and lub"
HINDPETRO,Hindustan Petroleum Corporation Limited,Oil Gas & Consumable Fuels,Energy,Oil & Gas Refining & Marketing,76091.0,125.85,,"Hindustan Petroleum Corporation Limited, together with its subsidiaries, engages in the refining and marketing of petroleum products in India and internationally. It operates through Downstream Petroleum and All Other segments. The company offers light distillates, including liquefied petroleum gas, motor spirits, naphtha, hexane, propylene, and solvents; and middle distillates, such as high-speed"
AEGISLOG,Aegis Logistics Limited,Oil Gas & Consumable Fuels,Energy,Oil & Gas Refining & Marketing,52159.0,91.31,,"Aegis Logistics Limited, together with its subsidiaries, operates as an oil, gas, and chemical logistics company primarily in India. It operates in Liquid Terminal Division and Gas Terminal Division segments. The company owns and operates a network of shore based tank farm installations for the handling of bulk liquids, including hazardous chemicals, petroleum products, and petrochemicals for petr"
PETRONET,Petronet LNG Limited,Oil Gas & Consumable Fuels,Energy,Oil & Gas Refining & Marketing,43125.0,43.41,,"Petronet LNG Limited engages in the import, storage, regasification, and supply of liquefied natural gas (LNG) in India. It owns and operates an LNG import and regasification terminal with name plate capacity of 22.5 MMTPA located in Dahej, Gujarat; and an LNG terminal with name plate capacity of 5 MMTPA located in Kochi, Kerala. The company was incorporated in 1998 and is based in New Delhi, Indi"
MRPL,Mangalore Refinery and Petrochemicals Limited,Oil Gas & Consumable Fuels,Energy,Oil & Gas Refining & Marketing,29274.0,94.56,,"Mangalore Refinery and Petrochemicals Limited engages in refining of crude oil in India and internationally. The company offers bitumen, high speed diesel, MS, Xylol, PetCoke, Sulphur, paraxylene, benzene, heavy aromatics, paraffinic raffinate, reformate, toluene, mineral turpentine oil, and other products, as well as LPG, naphtha, toluene, SKO, and furnace oil; and petrochemical products, such as"
CHENNPETRO,Chennai Petroleum Corporation Limited,Oil Gas & Consumable Fuels,Energy,Oil & Gas Refining & Marketing,20483.0,187.32,,"Chennai Petroleum Corporation Limited produces and supplies petroleum products in India. The company provides liquefied petroleum gas, naphtha, motor gasoline and spirit, kerosene, aviation turbine fuel, automotive high-speed and high flash diesel, light diesel oil, and bunker and non-bunker fuel oil. It also offers lube products, such as paving bitumen, lube oil base stocks, and extracts. In addi"
CASTROLIND,Castrol India Limited,Oil Gas & Consumable Fuels,Energy,Oil & Gas Refining & Marketing,19140.0,28.64,,"Castrol India Limited manufactures and markets automotive and industrial lubricants in India and internationally. The company offers engine and transmission oils, brake fluids, coolants, cleaners, and greases; EV transmission fluids, thermal fluids, and greases; and brake fluid chain lubricants, fork oils, gear oils, coolants, diesel exhaust fluids, hydraulic fluids, rust preventives, cleaners, an"
COALINDIA,Coal India Limited,Oil Gas & Consumable Fuels,Energy,Thermal Coal,255568.0,306.07,,"Coal India Limited, together with its subsidiaries, produces and sells coal and coal products in India. The company offers coking coal for steel making and metallurgical industries, as well as for hard coke manufacturing; semi coking coal for blend-able coal in steel making, merchant coke manufacturing, and other metallurgical industries; and non-coking coal for cement, fertilizer, glass, ceramic,"
GAIL,GAIL (India) Limited,Oil Gas & Consumable Fuels,Utilities,Utilities - Regulated Gas,113492.0,99.43,,"GAIL (India) Limited operates as a natural gas processing and distribution company in India and internationally. It operates through Transmission Services, Natural Gas Marketing, Petrochemicals, LPG and Other Liquid Hydrocarbons, and Other segments. The company is involved in the transmission and marketing of natural gas through pipelines to the power, fertilizer, industrial, automotive, petrochem"
ATGL,Adani Total Gas Limited,Oil Gas & Consumable Fuels,Utilities,Utilities - Regulated Gas,70212.0,30.47,,"Adani Total Gas Limited engages in the city gas distribution (CGD) business in India. It supplies piped natural gas and compressed natural gas to the domestic, commercial, industrial, and transportation sectors. The company also provides biogas, biofuel, biomass, LCNG, HCNG, EV, and hydrogen. In addition, it manufactures various equipment; and offers value-added services related to the CGD busines"
IGL,Indraprastha Gas Limited,Oil Gas & Consumable Fuels,Utilities,Utilities - Regulated Gas,20839.0,15.11,,"Indraprastha Gas Limited distributes and sells natural gas in India. It supplies compressed natural gas (CNG) to the transport sector; and piped natural gas to domestic, industrial, and commercial sectors. The company operates CNG stations, as well as steel pipeline and MDPE networks. It serves households; hotels, restaurants, malls, commercial complexes, educational/religious institutions, and ho"
MGL,Mahanagar Gas Limited,Oil Gas & Consumable Fuels,Utilities,Utilities - Regulated Gas,10646.0,16.95,,"Mahanagar Gas Limited operates as a natural gas distribution company in India. The company supplies piped natural gas (PNG) to domestic households, domestic households, and commercial establishments and industries used for cooking and water heating, as well as by hospitals, nursing homes, hotels, flight kitchens, restaurants, and places of worship. It also supplies compressed natural gas (CNG) and"
NAVA,NAVA LIMITED,Power,Industrials,Conglomerates,15714.0,11.65,,"Nava Limited, together with its subsidiaries, engages in ferroalloy manufacturing, energy, mining, agribusiness, and operation and maintenance services in India, Zambia, the United States, Hong Kong, Japan, the United Arab Emirates, and internationally. It operates through Ferro Alloys, Energy, Mining, and Other segments. The company operates 150 MW and 114 MW coal power plants in Paloncha, Telang"
GMRP&UI,GMR Power and Urban Infra Limited,Power,Energy,Thermal Coal,7219.0,11.33,,"GMR Power And Urban Infra Limited engages in the energy, urban infrastructure, and transportation businesses in India and internationally. It operates through Power, Smart Meter Infrastructure, Roads, EPC, and Others segments. The company generates energy through coal based thermal plants, hydropower plants, solar, and wind; installation of smart meters; development, operation, and maintenance of"
ADANIPOWER,Adani Power Limited,Power,Utilities,Utilities - Independent Power Producers,398325.0,334.23,,"Adani Power Limited engages in the generation, transmission, and sale of electricity under long term power purchase agreements (PPAs), supplemental PPAs, medium and short term PPAs, and on merchant basis in India. The company generates electricity through thermal energy sources through various power projects with a combined installed and commissioned capacity of 18,150 megawatt (MW). It also opera"
ADANIENSOL,Adani Energy Solutions Limited,Power,Utilities,Utilities - Independent Power Producers,170920.0,268.01,,"Adani Energy Solutions Limited, together with its subsidiaries, generates, transmits, and distributes power in India. It operates through the Transmission; Distribution; Smart Meter; Trading; and Others segments. The company is involved in the establishment, commission, setting up, operation, and maintenance of electric power transmission systems; development, ownership, and operation of transmiss"
TATAPOWER,Tata Power Company Limited,Power,Utilities,Utilities - Independent Power Producers,117317.0,146.08,,"The Tata Power Company Limited engages in the generation, transmission, distribution, and trading of electricity in India and internationally. It operates through four segments: Thermal & Hydro, Transmission & Distribution, Renewables, and Others. The company generates power from hydroelectric and thermal sources, such as coal, gas, and oil; and provides related ancillary services. It also engages"
JSWENERGY,JSW Energy Limited,Power,Utilities,Utilities - Independent Power Producers,94734.0,99.69,,"JSW Energy Limited generates and sells power in India. It has a power generation capacity of 10,875 MW, which includes 5,658MW of thermal, 1,391 MW of hydro, 1,671 of Wind, and 680 MW of solar. The company has operations in the States of Karnataka, Punjab, Maharashtra, Tamil Nadu, Himachal Pradesh, Odisha, Andhra Pradesh, Telangana, Madhya Pradesh, Chhattisgarh, Gujarat, and Rajasthan. The company"
TORNTPOWER,Torrent Power Limited,Power,Utilities,Utilities - Independent Power Producers,63593.0,39.67,,"Torrent Power Limited, together with its subsidiaries, engages in the generation, renewables, and transmission and distribution of electricity in India. The company owns thermal power plants with a generation capacity of 6,092 megawatts; renewable with a generation capacity of 5,952 megawatts peak; pumped storage project (PSP) develops 3,000 megawatts / 18,000 megawatt-hour PSP project; explores a"
JPPOWER,Jaiprakash Power Ventures Limited,Power,Utilities,Utilities - Independent Power Producers,11294.0,53.7,,"Jaiprakash Power Ventures Limited engages in the power generation and cement grinding businesses in India. It generates electricity through thermal and hydro energy sources. The company owns and operates a 400 megawatts (MW) Jaypee Vishnuprayag hydro-electric power plant at District Chamoli, Uttarakhand; 1320 MW Jaypee Nigrie thermal power plant at village Nigrie, district Singrauli, Madhya Prades"
RPOWER,Reliance Power Limited,Power,Utilities,Utilities - Independent Power Producers,8685.0,32.04,,"Reliance Power Limited, together with its subsidiaries, engages in the development, construction, and operation of power plants in India and internationally. Its portfolio of power projects is based on coal, gas, hydro, wind, and solar energy. The company owns and operates Sasan ultra mega power project, a coal-based power plant with a capacity of 3,960 megawatts; Rosa coal-based power project, wi"
PTC,PTC India Limited,Power,Utilities,Utilities - Independent Power Producers,4626.0,17.13,,"PTC India Limited, together with its subsidiaries, engages in the trading and generating power in India, Nepal, Bhutan, and Bangladesh. The company operates through two segments, Power and Financing Business. It engages in long term, medium term, and short-term power trading activities; and cross border power trading business. The company provides financing solutions to the energy value chain, inc"
RTNPOWER,RattanIndia Power Limited,Power,Utilities,Utilities - Independent Power Producers,3818.0,13.81,,"RattanIndia Power Limited, together with its subsidiary, Poena Power Development Limited, engages in power generation, distribution, trading and transmission, and other ancillary and incidental activities in India. It generates electricity through coal-based thermal power plants with an installed capacity of 2,700 MW located in Amravati and Nasik cities. The company also trades electricity in the"
NTPC,NTPC Limited,Power,Utilities,Utilities - Regulated Electric,316499.0,237.72,,"NTPC Limited operates as an integrated power company in India and Mauritius. It operates through two segments: Generation and Others. The company generates power from fossil fuels, hydro, solar, wind, nuclear, and renewable energy sources. It also engages in the coal mining and energy trading business. NTPC Limited was incorporated in 1975 and is based in New Delhi, India."
POWERGRID,Power Grid Corporation of India Limited,Power,Utilities,Utilities - Regulated Electric,247489.0,209.69,,"Power Grid Corporation of India Limited, an electric power transmission utility, engages in the power transmission business in India and internationally. It operates in three segments: Transmission Services, Telecom Services, and Consultancy Services. As of 31 March 2026, the company owned and operated 184,960 circuit kilometers of transmission lines, and 291 substations with an aggregate transfor"
NLCINDIA,NLC India Limited,Power,Utilities,Utilities - Regulated Electric,36975.0,33.37,,"NLC India Limited engages in the mining and power generation business in India. It operates through three segments: Mining, PowerThermal, and Power  Renewab. The company mines for lignite and coal; and generates power through lignite and coal, as well as through thermal, solar, and wind power plants. It also operates open cast lignite mines with a mining capacity of 28.0 million tonnes per annum"
CESC,CESC Limited,Power,Utilities,Utilities - Regulated Electric,19018.0,21.69,,"CESC Limited, an integrated electrical utility company, engages in the generation and distribution of electricity in India. It owns and operates two thermal power plants, including Budge Budge generating station with a generating capacity of 750 megawatts and Southern generating stations with a generating capacity of 135 megawatts; a 40-megawatt atmospheric fluidized bed combustion power plant in"
ADANIGREEN,Adani Green Energy Limited,Power,Utilities,Utilities - Renewable,214726.0,125.4,,"Adani Green Energy Limited generates and supplies renewable energy to central and state government entities and government backed corporations in India. The company develops, builds, owns, operates, and maintains power plants through renewable sources, such as solar, wind, and hybrid. It operates solar power plants with an operational capacity of 10,103 megawatts (MW); wind power plants with an op"
NTPCGREEN,NTPC Green Energy Limited,Power,Utilities,Utilities - Renewable,76899.0,13.39,,"NTPC Green Energy Limited engages in the renewable energy generation business in India. The company has a portfolio of 26,544 MWs solar and wind power projects. It also offers consultancy services, project management, and supervision services. The company was incorporated in 2022 and is based in New Delhi, India. NTPC Green Energy Limited is a subsidiary of NTPC Limited."
NHPC,NHPC Limited,Power,Utilities,Utilities - Renewable,76141.0,77.9,,"NHPC Limited, together with its subsidiaries, engages in the generation, sale, and trading of electricity through hydro, wind, and solar power stations in India and Nepal. It also owns and operates power stations. In addition, the company offers consultancy, project execution, and maintenance services in the areas of design and engineering; geotechnical investigations; renovation and modernization"
ACMESOLAR,Acme Solar Holdings Limited,Power,Utilities,Utilities - Renewable,32355.0,57.62,,"ACME Solar Holdings Limited, a solar independent power producing company, engages in developing, building, owning, operating, and maintaining utility scale grid connected solar power projects in India. The company owns and operates solar energy projects with installed capacity of 2540 MW; and develops and constructs solar energy projects with capacity of 3780 MW. It is also involved in the wind po"
SJVN,SJVN Limited,Power,Utilities,Utilities - Renewable,24895.0,10.72,,"SJVN Limited, together with its subsidiaries, engages in the generation and sale of electricity in India and internationally. The company is also involved in thermal power, hydro power, wind power, solar power, and power trading and transmission businesses. The company operates the Nathpa Jhakri Hydro Power Station (NJHPS) with a capacity of 1500 MW located in Shimla District; the Arun-3 Hydro Ele"
KPIGREEN,KPI Green Energy Limited,Power,Utilities,Utilities - Renewable,6353.0,23.2,Renewable Energy Equipment,"KPI Green Energy Limited operates as an independent power producer that focuses on the development, construction, ownership, operation, and maintenance of renewable energy projects under the Solarism brand name in India. The company operates through the Sale of Power & Plant and Sale of Plots segments. It also operates as a captive power producer that offers customized renewable energy solutions."
LOTUSDEV,Sri Lotus Developers and Realty Limited,Realty,Industrials,Engineering & Construction,10479.0,18.89,,"Sri Lotus Developers and Realty Limited develops residential and commercial premises in Mumbai. The company's portfolio covers luxury and ultraluxury residential and upscale commercial projects. It also engages in production, distribution, and trading of cinematography films. The company was formerly known as AKP Holdings Limited and changed its name to Sri Lotus Developers and Realty Limited in D"
DLF,DLF Limited,Realty,Real Estate,Real Estate - Development,163432.0,175.42,,"DLF Limited, together with its subsidiaries, engages in the business of colonization and real estate development in India. The company is involved in the real estate development activities, including identification and acquisition of land, planning, execution, construction, and marketing of projects. The company also develops and sells residential housing projects, including under-construction pro"
LODHA,Lodha Developers Limited,Realty,Real Estate,Real Estate - Development,113712.0,179.73,,"Lodha Developers Limited, through its subsidiaries, engages in the development of real estate properties in India. It is involved in the development of residential, office, and retail properties, as well as leasing of retail and office spaces. The company also develops warehousing, logistics, light industrial facilities, and digital infrastructure parks. In addition, it offers financing, support,"
OBEROIRLTY,Oberoi Realty Limited,Realty,Real Estate,Real Estate - Development,66212.0,61.19,,"Oberoi Realty Limited, together with its subsidiaries, engages in real estate development business in India. The company operates through the Real Estate and the Hospitality segment. It develops and sells residential, commercial, retail, hospitality, and social infrastructure projects. The company also leases commercial properties; and owns and operates a hotel. In addition, it engages in the sale"
GODREJPROP,Godrej Properties Limited,Realty,Real Estate,Real Estate - Development,51115.0,120.01,,"Godrej Properties Limited, together with its subsidiaries, engages primarily in the business of real estate construction, development, hospitality, and other related activities in India. It develops residential and commercial projects. Godrej Properties Limited was incorporated in 1985 and is headquartered in Mumbai, India."
ANANTRAJ,Anant Raj Limited,Realty,Real Estate,Real Estate - Development,21420.0,85.5,,"Anant Raj Limited is primarily engaged in the real estate and infrastructure development business in India and Singapore. It develops and constructs residential townships, group housings, commercial developments, information and technology parks, malls, office complexes, affordable housings, data centres, hospitality, and serviced apartments. The company was formerly known as Anant Raj Industries"
BRIGADE,Brigade Enterprises Limited,Realty,Real Estate,Real Estate - Development,19855.0,22.28,,"Brigade Enterprises Limited engages in the provision of real estate development, leasing, and related services in India. It operates through Real Estate, Hospitality, and Leasing segments. The company develops and sells various residential and commercial, and retail properties. It also manages star-rated hotels, clubs, and convention centres, as well as the Baking Company. Brigade Enterprises Limi"
SOBHA,Sobha Limited,Realty,Real Estate,Real Estate - Development,12984.0,8.95,,"Sobha Limited engages in the construction, development, sale, management, and operation of residential and commercial real estate under the Sobha brand primarily in India. It operates through the Real Estate, and Contractual and Manufacturing segments. The Real Estate segment comprises development, sale, management, and operation of townships and housing projects, as well as leasing of commercial"
